Indent number,x-coord,y-coord,Load,Hardness
593,5040,5320,300,160
594,5040,5850,300,161
595,5040,6110,300,162
596,5040,6380,300,172
597,5040,6640,300,164
598,5040,6910,300,163
599,5040,7170,300,179
600,5040,7440,300,163
601,5040,7700,300,161
602,5040,8240,300,169
603,5050,0,300,163
604,5050,2930,300,160
605,5050,5580,300,152
606,5050,7970,300,176
607,5310,10,300,174
608,5310,270,300,171
609,5310,540,300,158
610,5310,800,300,159
611,5310,1070,300,154
612,5310,1330,300,161
613,5310,1600,300,168
614,5310,1870,300,164
615,5310,2130,300,153
616,5310,2400,300,158
617,5310,2660,300,158
618,5310,2930,300,158
619,5310,3190,300,160
620,5310,3460,300,156
621,5310,3720,300,161
622,5310,3990,300,163
623,5310,4250,300,160
624,5310,4520,300,157
625,5310,4780,300,155
626,5310,5050,300,161
627,5310,5310,300,165
628,5310,5580,300,165
629,5310,5850,300,160
630,5310,6110,300,167
631,5310,6380,300,169
632,5310,6640,300,160
633,5310,6910,300,165
634,5310,7170,300,160
635,5310,7440,300,168
636,5310,7700,300,167
637,5310,7970,300,180
638,5310,8230,300,158
639,5570,800,300,182
640,5570,4250,300,168
641,5570,4780,300,167
642,5570,6910,300,179
643,5570,7440,300,173
644,5580,10,300,166
645,5580,270,300,170
646,5580,540,300,161
647,5580,1070,300,201
648,5580,1330,300,212
649,5580,1600,300,155
650,5580,1860,300,161
651,5580,2130,300,160
652,5580,2400,300,152
653,5580,2660,300,155
654,5580,2930,300,162
655,5580,3190,300,165
656,5580,3460,300,161
657,5580,3720,300,160
658,5580,3990,300,167
659,5580,4520,300,157
660,5580,5050,300,161
661,5580,5320,300,155
662,5580,5580,300,159
663,5580,5850,300,154
664,5580,6110,300,169
665,5580,6380,300,169
666,5580,6640,300,168
667,5580,7170,300,173
668,5580,7700,300,172
669,5580,7970,300,171
670,5580,8230,300,165
671,5840,10,300,170
672,5840,270,300,168
673,5840,540,300,200
674,5840,800,300,214
675,5840,1070,300,204
676,5840,1330,300,207
677,5840,1600,300,166
678,5840,1870,300,161
679,5840,2130,300,162
680,5840,2390,300,162
681,5840,2660,300,159
682,5840,2930,300,165
683,5840,3190,300,157
684,5840,3460,300,147
685,5840,3720,300,168
686,5840,3990,300,160
687,5840,4250,300,164
688,5840,4520,300,167
689,5840,4780,300,167
690,5840,5050,300,166
691,5840,5310,300,156
692,5840,5580,300,166
693,5840,5840,300,163
694,5840,6110,300,171
695,5840,6380,300,157
696,5840,6640,300,164
697,5840,6910,300,162
698,5840,7170,300,167
699,5840,7440,300,164
700,5840,7700,300,177
701,5840,7970,300,173
702,5840,8240,300,178
703,6100,1070,300,174
704,6110,-260,300,176
705,6110,10,300,179
706,6110,270,300,171
707,6110,540,300,181
708,6110,800,300,175
709,6110,1330,300,182
710,6110,1600,300,198
711,6110,1860,300,170
712,6110,2130,300,154
713,6110,2400,300,156
714,6110,2660,300,155
715,6110,2930,300,154
716,6110,3190,300,164
717,6110,3460,300,155
718,6110,3720,300,155
719,6110,3990,300,154
720,6110,4250,300,156
721,6110,4520,300,161
722,6110,4780,300,165
723,6110,5050,300,169
724,6110,5320,300,161
725,6110,5580,300,166
726,6110,5850,300,163
727,6110,6110,300,162
728,6110,6380,300,161
729,6110,6640,300,160
730,6110,6910,300,157
731,6110,7170,300,167
732,6110,7440,300,168
733,6110,7710,300,168
734,6110,7970,300,174
735,6110,8240,300,171
736,6370,-260,300,173
737,6370,10,300,178
738,6370,270,300,174
739,6370,540,300,209
740,6370,800,300,191
741,6370,1070,300,204
742,6370,1330,300,199
743,6370,1600,300,168
744,6370,1860,300,172
745,6370,2130,300,164
746,6370,2400,300,157
747,6370,2660,300,159
748,6370,2930,300,155
749,6370,3190,300,148
750,6370,3460,300,156
751,6370,3720,300,158
752,6370,3990,300,160
753,6370,4250,300,152
754,6370,4520,300,159
755,6370,4780,300,155
756,6370,5050,300,158
757,6370,5320,300,160
758,6370,5580,300,163
759,6370,5850,300,171
760,6370,6110,300,165
761,6370,6380,300,155
762,6370,6640,300,163
763,6370,6910,300,165
764,6370,7170,300,167
765,6370,7440,300,169
766,6370,7700,300,155
